Year,Department,Compensation_mean,Compensation_min,Compensation_max
2028,Parks - Parks & Recreation,5565.18,64.69,102594.45
2018,Street - Street,36417.88,8619.58,68485.57
2019,Street - Street,36890.53,9120.6,68987.94
2020,Street - Street,38515.29,10805.11,69492.17
2021,Street - Street,39565.73,11902.9,69996.4
2022,Street - Street,40902.47,13291.55,70500.62
2023,Street - Street,42096.49,14536.01,71004.85
2024,Street - Street,43361.65,15851.95,71509.07
2025,Street - Street,44591.35,17132.46,72013.3
2026,Street - Street,45838.73,18430.53,72517.52
2027,Street - Street,47077.3,19719.9,73021.75
2028,Street - Street,48320.26,21013.58,73525.97
2018,PW - Public Works,16058.72,289.73,90703.0
2019,PW - Public Works,13016.73,-27.08,91405.73
2020,PW - Public Works,9031.63,-371.59,92587.22
2021,PW - Public Works,5263.09,-713.34,93607.66
2022,PW - Public Works,1444.81,-1055.37,94682.28
2023,PW - Public Works,-2362.04,-1397.37,95738.67
2024,PW - Public Works,-6171.51,-1739.37,96801.19
2025,PW - Public Works,-9980.38,-2081.37,97861.65
2026,PW - Public Works,-13789.39,-2423.37,98922.81
2027,PW - Public Works,-17598.37,-2765.38,99983.73
2028,PW - Public Works,-21407.35,-3107.38,101044.73
2018,Pol - Police,44539.17,1273.47,94299.7
2019,Pol - Police,43158.96,1462.18,95085.03
2020,Pol - Police,41349.56,1653.15,96696.49
2021,Pol - Police,39638.87,1844.08,97980.08
2022,Pol - Police,37905.48,2035.0,99393.8
2023,Pol - Police,36177.31,2225.93,100755.86
2024,Pol - Police,34447.94,2416.86,102138.43
2025,Pol - Police,32718.85,2607.79,103512.86
2026,Pol - Police,30989.69,2798.72,104890.52
2027,Pol - Police,29260.55,2989.65,106266.9
2028,Pol - Police,27531.41,3180.58,107643.79
